Text Analysis for files: data2.in data3.in 
word      frequency 
----      --------- 
                ain't        1
                  all        2
                 also        2
                   am        1
                  and        2
                  are        2
               aren't        1
             cat-city        1
               chris'        1
                 come        8
             contains        1
         contractions        1
                data1        1
             dog-town        1
                  end        1
             favorite        1
                 file        2
                 good        6
                 hard       18
           host-table        1
           hyphenated        1
                   in        1
             included        1
                   is        1
                   it        1
              meaning        2
                  not        2
                   of        3
              repeats        1
                 some        3
                  the        3
               things        4
                 this        2
                those       14
                   to       10
                  who       12
                words        2
                 work       16
Number of words: 133
Vocabulary size: 38
